ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07690;2024-11-04T10:00:00+01:00;102600;100.0;1;330;4.4;290.15;282.35;60;40000.0;2;0;0;0.0;0;;30;20;10;102290.0;;;10.0;;;;;284.75;;;6.8;6.8;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.648833, 7.209;NICE;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;17.0;;;;;11.600000000000023;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;11
07690;2024-11-05T07:00:00+01:00;102470;0.0;5;340;4.1;286.65;282.45;76;30000.0;2;0;0;25.0;0;8000.0;30;20;11;102150.0;;;-40.0;286.65;;289.65;;285.15;;;6.1;6.1;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;2.0;0;8000.0;;;;;;;;;;43.648833, 7.209;NICE;En baisse, puis en hausse, la pression atmosphérique est la même ou plus basse que trois heures auparavant;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;13.5;13.5;;16.5;;12.0;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;11
07690;2024-11-30T07:00:00+01:00;102810;50.0;3;330;4.5;283.25;278.85;74;30000.0;3;2;2;60.0;5;;35;20;10;102490.0;;;620.0;282.65;;285.15;;281.65;;;6.6;7.0;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;5.0;6;1200.0;;;;;;;;;;43.648833, 7.209;NICE;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Nuages en formation ou en train de se développer;10.100000000000023;9.5;;12.0;;8.5;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;11
07690;2024-12-04T10:00:00+01:00;101770;180.0;2;330;5.8;283.25;276.95;65;50000.0;1;0;0;10.0;0;;30;20;11;101450.0;;;240.0;;;;;280.15;;;9.0;9.6;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;0;9000.0;;;;;;;;;;43.648833, 7.209;NICE;En hausse;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble, nuages se dissipant ou devenant moins épais;10.100000000000023;;;;;7.0;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;12
07690;2024-10-15T20:00:00+02:00;101760;40.0;3;70;8.1;294.65;291.05;80;20000.0;1;2;2;90.0;2;800.0;35;28;11;101460.0;;;-220.0;290.45;;295.65;;290.65;;;11.9;12.3;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.6;;;;;2.0;6;850.0;4.0;3;3800.0;7.0;0;9000.0;;;;43.648833, 7.209;NICE;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble, nuages se dissipant ou devenant moins épais;21.5;17.30000000000001;;22.5;;17.5;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;10
07690;2024-11-17T13:00:00+01:00;101290;-180.0;8;80;1.3;290.35;282.25;59;50000.0;2;1;1;50.0;1;;30;24;11;100980.0;;;-890.0;;;;;280.85;;;2.5;5.0;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;3;5000.0;4.0;0;7000.0;;;;;;;43.648833, 7.209;NICE;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;État du ciel inchangé dans l’ensemble;17.200000000000045;;;;;7.7000000000000455;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;11
07690;2024-11-17T16:00:00+01:00;101130;-160.0;6;100;4.4;289.55;283.45;67;40000.0;2;2;2;60.0;2;;30;24;11;100820.0;;;-850.0;;;;;280.85;;;5.8;5.8;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;3;4000.0;5.0;0;6000.0;;;;;;;43.648833, 7.209;NICE;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;16.400000000000034;;;;;7.7000000000000455;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;11
07690;2024-11-12T22:00:00+01:00;102120;150.0;3;330;3.4;284.15;278.05;66;50000.0;3;2;2;90.0;3;2500.0;30;23;11;101800.0;;;50.0;;;;;282.55;;;5.9;6.9;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.8;;;;;3.0;3;2500.0;1.0;3;3300.0;6.0;0;8000.0;;;;43.648833, 7.209;NICE;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Nuages en formation ou en train de se développer;11.0;;;;;9.400000000000034;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;11
07690;2024-11-13T04:00:00+01:00;102110;-40.0;8;330;6.2;282.95;275.55;60;50000.0;1;1;1;50.0;2;;30;23;11;101790.0;;;360.0;;;;;281.75;;;9.0;9.1;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.8;;;;;2.0;3;3600.0;4.0;0;8000.0;;;;;;;43.648833, 7.209;NICE;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;Dans l’ensemble, nuages se dissipant ou devenant moins épais;9.800000000000011;;;;;8.600000000000023;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;11
07690;2024-11-13T16:00:00+01:00;102080;-110.0;6;210;2.6;291.05;278.25;43;50000.0;2;0;0;25.0;0;;30;20;11;101770.0;;;260.0;;;;;280.85;;;3.8;5.0;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;2.0;0;8000.0;;;;;;;;;;43.648833, 7.209;NICE;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;17.900000000000034;;;;;7.7000000000000455;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;11
